id,article
2286,recov recov recov recov excit excit bring mexic mexic mexic mexic mexic mexic mexic mexic mexic mexic market market market market market market market life emerg evident evident econom econom econom econom back back back track buzz tuesday tuesday tuesday tuesday tuesday stock stock stock clos record record high high high interest interest interest interest rate rate rate rate rate rate rate month low low low stag begin year ahead term term term term fundament fundament fundament matthew hickm lehm brother york point point point hist hist fall fall fall view etch mind invest cris decemb free peso peso peso stubborn week week quart gross domest domest produc report percent percent percent strong strong strong anal anal expect expect expect expect expect govern treasur bill cete cete second second fell level jan main pric index rally volum frenz million shar confound strength end long long contract drop benchmark auction remain stead feder reserv refrain rais short attract off robust return foreign grow grow confid victim crumbl focus lar schonand head head research research santand city city continu declin inflat gdp growth figur lack upward move move fact play felix boni boni jame capel posit technic uncertain argentin put neighbor brazil risk south americ wary lot hyp export led patch consum venge corpor earn justif run
2287,uruguay uruguay compan compan compan bring limit limit mexic capac capac grab market market market market small small small portion emerg rival econom gener motor motor motor ford volkswagen ag tuesday tuesday tuesday stock stock target clos specif segment desir vehicl vehicl vehicl interest applic facil facil dakot dakot dakot low compact begin countr countr year year year year year cherok cherok cherok cherok cherok construc cordob provinc schedul build grand grand start start start york april output site select roll line mid modest invest invest invest invest invest invest invest ultimat unit unit unit unit unit annual annual annual free free employ peopl larg complet knock kit kit ship produc produc produc produc stat stat percent meet bloc local requir decid dodg brand brand brand name canad detroit italian design vm cylind turbocharg model instal miniv sold million million million million million million million million million europ support open dana end end johnson control lear lear techn ppg industr increas stead decad area polit stabl rise buy pow off venezuel neon car financ grow commit made rose cent exchang growth growth play play argentin argentin argentin argentin argentin argentin brazil brazil brazil brazil brazil brazil brazil brazil risk south south south americ americ americ americ americ consum chrysl chrysl chrysl chrysl chrysl chrysl chrysl chrysl chrysl chrysl chrysl chrysl chrysl chrysl chrysl chrysl chrysl plan latin latin corp corp corp corp corp corp corp announc announc includ includ includ includ assembl assembl assembl assembl assembl plant plant plant plant plant plant plant plant plant pickup pickup truck truck truck truck diesel diesel diesel diesel engin engin engin engin expand expand jeep jeep jeep jeep jeep jeep built built built caut rebuild intern intern present project worth worth rough total total total suppl suppl suppl suppl major major major role automak automak automak automak glob strateg chairm robert eaton eaton eaton eaton don don intend intend make risky add add thom gale execut execut vice presid operat content content pace region region region solid opportun boost sale sale sale mercosur mercosur mercosur mercosur mercosur trad trad trad zone zone group paraguay paraguay
2288,spun stak compan compan compan compan compan compan compan compan compan nasdaq early market market tuesday stock clos month month year year year year roll invest modest unit annual peopl larg quart quart quart quart quart quart quart quart quart produc produc produc stat report report report percent percent expect expect expect expect expect expect million million million million million million million million million million million shar shar shar shar end drop increas financ made cent cent cent cent cent cent compuserv compuserv compuserv compuserv compuserv compuserv compuserv compuserv compuserv compuserv compuserv compuserv loss loss loss loss loss loss loss loss cut cut cut cut work work forc forc continu surpris declin declin fisc fisc fisc fisc fisc blam blam numb numb numb numb subscrib subscrib subscrib subscrib subscrib subscrib subscrib onlin onlin onlin onlin servic servic servic servic servic servic servic servic spend fami fami orient orient improv improv improv improv predict half half take step revital chief bob massey massey massey job part part cost cost cost program save americ basi columbus ohio base sell sell spry web brows trail simil netscap earn commun microsoft july july compar profit result result corp corp corp announc pretax charg includ includ includ post actual great wall street revenu revenu expand prev comment cancel exceed flag inform memb memb worldw niftyserv niftyserv joint ventur total japan japan found wow wow infrastructur hit due late version softwar need access make releas releas featur teen parent forecast rosy execut coupl aggress campaign fourth top mark licens advert fee electron commerc trad subsid tax prepar block
2289,spun stak compan compan compan compan compan compan compan compan compan nasdaq early market market tuesday stock clos month month year year year year roll invest modest unit annual peopl larg quart quart quart quart quart quart quart quart quart produc produc produc stat report report report percent percent expect expect expect expect expect expect million million million million million million million million million million million shar shar shar shar end drop increas financ made cent cent cent cent cent cent compuserv compuserv compuserv compuserv compuserv compuserv compuserv compuserv compuserv compuserv compuserv compuserv loss loss loss loss loss loss loss loss cut cut cut cut work work forc forc continu surpris declin declin fisc fisc fisc fisc fisc blam blam numb numb numb numb subscrib subscrib subscrib subscrib subscrib subscrib subscrib onlin onlin onlin onlin servic servic servic servic servic servic servic servic spend fami fami orient orient improv improv improv improv predict half half take step revital chief bob massey massey massey job part part cost cost cost program save americ basi columbus ohio base sell sell spry web brows trail simil netscap earn commun microsoft july july compar profit result result corp corp corp announc pretax charg includ includ includ post actual great wall street revenu revenu expand prev comment cancel exceed flag inform memb memb worldw niftyserv niftyserv joint ventur total japan japan found wow wow infrastructur hit due late version softwar need access make releas releas featur teen parent forecast rosy execut coupl aggress campaign fourth top mark licens advert fee electron commerc trad subsid tax prepar block
2290,compan compan limit planet planet planet planet planet hollywood hollywood hollywood hollywood hollywood hollywood launch credit credit credit credit card card card card dine feel movie movie star money arnold schwarzeneg them restaur restaur rate applic chain fast outlet festoon kitsch memorabl team william mor talent agent mbna bank wilmington del perk prefer roll seat edition shirt discount food merchandis annual annual join pop cultur ston magazin issu debt fun usual stat percent percent approv pay special introduc balanc transf cash brand advanc check orland florid off grow made spend part americ base includ intern don make fee
2291,compan compan limit limit limit market market market small small small emerg tuesday tuesday tuesday clos clos clos clos clos clos clos high high high high high low low low low countr countr year york york york point decemb decemb decemb peopl larg week week produc produc report anal anal anal govern cash fell fell fell fell level level hog hog hog hog hog hog hog hog hog tumbl cocoa cocoa cocoa cocoa cocoa cocoa pric pric pric pric pric pric index gain slaught slaught slaught slaught show show futur futur futur futur futur anticip anticip crop crop crop crop crop overse overse shrink end end end deliv pull contract contract contract coffee coffee coffee coffee crud crud crud oil oil oil monday gold gold edg increas increas increas increas commod commod bureau chicag mercantil mercantil august august august august rise buy buy buy pork pork pork pork pork belly belly belly finish respect daily daily pressur weak worry side rose focus cent cent cent cent cent cent cent cent cent cent cent cent import pack pack exchang exchang exchang exchang freedom head margin doug research harp brock assoc senior livestock pinch meat quick figur bid agricultur depart ago fact near improv cme cme pound pound pound pound take sharp sharp sharp transl sugar specul buoy new new updat ivory ivory coast coast estimat rang settl settl basi metric metric ton ton base ivorian problem ghan prelimin peg factor bar revis burst session chart chart day wide profit profit watch break resist inspir driv wednesday refin septemb septemb septemb septemb unlead gasolin gallon gallon heat barrel ounc suppl suppl suppl suppl suppl late add add forecast forecast mark trad
2292,early credit market market market market market market econom econom back back tuesday stock stock stock clos clos clos clos record record fast high high high high interest interest interest interest interest rate rate rate rate rate rate year year year term bank prefer york york york york york point point point point merchandis invest invest ston issu week quart quart quart quart report percent percent percent strong expect expect advanc treasur second fell fell gain pric index index rally rally volum overse million deliv shar shar crud crud end end end end oil oil monday monday gold gold drop edg commod stead stead stead mercantil feder feder reserv short short pressur weak weak foreign foreign grow import declin inflat growth depart fact fact fact sharp new put settl lot export led inspir announc septemb septemb heat barrel ounc blu blu blu blu chip chip chip chip fed fed fed fed held dollar dollar dollar dollar dollar dollar dollar june june june deficit deficit deficit bond bond chang dow dow dow jone aver aver throw set set set broad strateg strateg moderat polic polic afternoon unchang unchang unchang allow hurdl make ling fear add add surpr neutral richard crip leg presid mason wood walk pace hold hold amid sign slow slow boost keep sale independ sought trad trad trad trad trad stay fire approach nov congress elect recent hous retail small stall pare look rumor hard find indic spectacul joseph barthel fahnestock way liquid visibl safet stud composit currenc currenc climb climb yen yen yen yen gap shrank petroleum shortfal billion trend decreas amount good greg pearm line deal commercial de franc unit huge today bought slight germ yield lost britain fts stat surpass meet nikkei local open techn techn industr increas polit rise buy buy commit rose rose rose rose cent cent cent exchang exchang exchang exchang numb numb chief chief chief sell sell wall street japan japan japan late late mark mark mark commerc nasdaq
2293,compan compan compan compan early market market credit rival rival card tuesday stock stock money high rate month year year start york site billion fall roll line good annual free free free larg larg lost local anal expect requir introduc sprint sprint sprint sprint sprint sprint sprint sprint sprint sprint sprint sprint bill internet internet internet internet internet internet internet internet internet internet internet jump home fell mci mci kans mo big chunk busi busi busi busi busi busi exist telephon custom custom choos million million flat support support support unlimit hour end minim long long long maxim usag nation techn dist dist ve ve industr jim dod dod dod time time time avoid glitch hurt short press bet massick off off off off off colomb bear stearn ground dub passport provid provid side cent clock exchang comput network phon call offer offer offer bell city city city entry spark flur numb compet shockwav initial onlin onlin onlin navigat navigat servic servic servic servic servic servic servic servic servic servic servic servic search search explor move won fact fact host propriet serv resid take take rebat certif speed speed modem new kilobit dedicat mail part direct toll americ base web brows brows consum consum consum consum consum simil netscap netscap commun microsoft microsoft compar plan profit wide corp corp corp announc includ includ includ revenu major glob softwar softwar don access access access access access access access access access access access releas make vice presid operat operat region commerc
2294,wear mom levi levi strauss popul popul market draw lure portion portion tommy hilfig retail retail retail retail retail retail ralph back back back back back back back back back back back laur polo calvin target klein slung find clos hip hug high high high high high high bottom chain retr peac march outlet low low hot own dayton dayton year year year year hudson hudson clay ring necklac reminisc spokeswom susan eich eich york backpack clog zip amount mind good shirt shirt shirt discount discount discount discount merchandis annual peopl larg larg percent percent percent percent percent percent percent percent percent percent percent percent percent special decid brand brand jump design big show increas short rise buy buy confid import import import network offer bell servic spend spend spend spend spend depart depart depart depart depart depart depart fact ago cost direct school school school school school school school school school school americ americ americ americ americ shop shop shop shop shop load lot peren base favourit sell sell sell sell jean jean jean jean jean jean sneak cloth cloth cloth cloth consum sort funny hasn pant thing basic andrea day plan kent kent kent kent express express express express express corp result travel relat includ includ child child child survey survey survey survey caus great emphas typic invent reduc item item item item textbook textbook textbook board account account account account budget budget budget budget element student student student student student student colleg colleg colleg colleg colleg colleg project demand expend curi boy suppl suppl suppl dramat found styl chang consc girl girl contr aver aver stor stor stor stor stor stor stor stor battl season season holiday access thanksgiv christm bang fight add add add add pur parent parent parent heart mall mall brat presid flex fashion fashion fashion muscl alan millstein millstein millstein consult captur locat offic electron sale sale sale sale left reveal influ kid kid kid group pick pick pick
2295,recov recov compan compan compan compan bring early gener gener gener tuesday tuesday money month countr begin begin year year term mor mor york arizon arizon arizon arizon arizon amount suit suit suit suit suit suit suit suit tobacc tobacc tobacc tobacc tobacc tobacc tobacc tobacc tobacc tobacc tobacc tobacc tobacc tobacc tobacc firm firm firm firm file file file file file unit lawsuit lawsuit lawsuit lawsuit lawsuit list list join join seek seek seek hundred hundred hundred hundred week treat smok smok smok smok smok smok smok smok ill ill sourc sourc produc produc michig michig oklahom oklahom stat stat stat stat stat stat suing pay britain attorney attorney attorney carl expect stoval stoval stoval stoval decid decid leth warrant enorm name name name burd shift taxpay philip philip kans kans kans kans kans kans kans cos vigor big defend defend defend law aid frank kelley legal sold million million million million thursday thursday indianapol indianapol indianapol liabl challeng jury jury jury jury delib case case case roge roge roge lawy age age industr industr industr industr industr die lung lung time canc canc widow unspecif damag damag damag damag public public public public advocat advocat urg mayor rudolph giulian financ grow sue paid paid health health care green san francisc head research effort call obtain forc medicaid medicaid medicaid city city city city refund cigaret cigaret jacksonvill fla numb award figur man strick lucky strik defect brown brown williamson williamson plc neglig fail appeal excess discov ll finit claim grant cost cost cost cost program incur risk date americ aim basi educat hazard rjr nabisc rj reynold divid consum loew lorillard simil simil hill knowlton council run institut brook ligget corp corp corp relat relat relat child child actual wednesday wednesday inform dollar dollar dollar total broad make teen add richard mark wood hold group group group prepar sought
